slice_name,images,mean_proxy_dice,mean_missing_count,mean_extra_count,fraction_using_last_clip
all_test,45,0.9196128002080586,0.4888888888888889,1.511111111111111,1.0
partial,32,0.8950573521444343,0.46875,2.125,1.0
full_range,13,0.98005698005698,0.5384615384615384,0.0,1.0
scoliosis,28,0.8944892216699653,0.5357142857142857,2.0,1.0
normal,17,0.9609928119178593,0.4117647058823529,0.7058823529411765,1.0
