slice_name,images,mean_proxy_dice,mean_missing_count,mean_extra_count,fraction_raw,fraction_baseline,fraction_refined
all_test,45,0.9253741170804868,0.3333333333333333,1.511111111111111,0.5333333333333333,0.4666666666666667,0.0
partial,32,0.8950573521444343,0.46875,2.125,0.34375,0.65625,0.0
full_range,13,1.0,0.0,0.0,1.0,0.0,0.0
scoliosis,28,0.8944892216699653,0.5357142857142857,2.0,0.25,0.75,0.0
normal,17,0.9762433565801688,0.0,0.7058823529411765,1.0,0.0,0.0
