metric,baseline,refined,delta_refined_minus_baseline
last_test_exact_acc,0.4222222222222222,0.15555555555555556,-0.26666666666666666
last_test_within1_acc,0.5777777777777777,0.6666666666666666,0.0888888888888889
last_test_mae,2.0,2.311111111111111,0.3111111111111109
last_test_overprediction_rate,0.4,0.4888888888888889,0.08888888888888885
