epoch,train_loss,val_loss,val_last_acc,val_last_within1_acc,val_last_mae,val_overprediction_rate,val_underprediction_rate,lr,epoch_seconds
1,2.026735517528507,3.276666694217258,0.2222222222222222,0.4166666666666667,2.1944444444444446,0.4722222222222222,0.3055555555555556,0.0004,2.303788900375366
2,1.9090488673923733,3.455026944478353,0.19444444444444445,0.5,1.9722222222222223,0.4444444444444444,0.3611111111111111,0.0004,1.0932230949401855
3,1.9240124525723759,5.178990999857585,0.1111111111111111,0.4444444444444444,2.138888888888889,0.3611111111111111,0.5277777777777778,0.0004,1.0969936847686768
4,1.777210108883731,2.9775469303131104,0.25,0.4722222222222222,2.4166666666666665,0.4722222222222222,0.2777777777777778,0.0004,1.1202995777130127
5,1.6144304633974196,4.123056756125556,0.1388888888888889,0.5277777777777778,2.4444444444444446,0.5,0.3611111111111111,0.0004,1.3258342742919922
6,1.404199641067665,3.7472250726487903,0.25,0.4722222222222222,1.9444444444444444,0.3333333333333333,0.4166666666666667,0.0004,1.5624258518218994
7,1.4319382639198037,3.4310541682773166,0.25,0.5277777777777778,2.2222222222222223,0.3611111111111111,0.3888888888888889,0.0004,1.5901811122894287
8,1.3898381961809172,4.181313806109959,0.16666666666666666,0.3611111111111111,2.5277777777777777,0.4444444444444444,0.3888888888888889,0.0004,1.3467967510223389
9,1.247864739044563,4.126195907592773,0.1111111111111111,0.4166666666666667,2.2222222222222223,0.4166666666666667,0.4722222222222222,0.0002,1.116544485092163
10,1.1762477959786262,3.717240571975708,0.19444444444444445,0.3888888888888889,2.5277777777777777,0.5,0.3055555555555556,0.0002,1.1063222885131836
11,1.104005660210456,3.3927324612935386,0.25,0.4444444444444444,2.2777777777777777,0.4444444444444444,0.3055555555555556,0.0002,1.0861198902130127
12,1.0356005255158964,3.4034667544894748,0.2777777777777778,0.5,2.4166666666666665,0.4166666666666667,0.3055555555555556,0.0002,1.1178600788116455
13,0.9489397560799873,3.9114270210266113,0.16666666666666666,0.3333333333333333,2.6944444444444446,0.5,0.3333333333333333,0.0001,1.102015495300293
