policy_name,mean_proxy_dice,mean_missing_count,mean_extra_count,fraction_raw,fraction_baseline,fraction_refined,clean_improvement_rate,harm_rate,baseline_proxy,baseline_missing,baseline_extra,proxy_gain_vs_baseline,missing_change_vs_baseline,extra_change_vs_baseline,is_conservative_candidate,net_conservative_score
hybrid_scoliosis_baseline_else_refined_if_trim_ge_2_and_gap_le_1_else_raw,0.9253741170804868,0.3333333333333333,1.511111111111111,0.5333333333333333,0.4666666666666667,0.0,0.3111111111111111,0.1555555555555555,0.9196128002080586,0.4888888888888889,1.511111111111111,0.0057613168724282016,-0.15555555555555556,0.0,True,0.013539094650205984
baseline_always,0.9196128002080586,0.4888888888888889,1.511111111111111,0.0,1.0,0.0,0.3111111111111111,0.1777777777777777,0.9196128002080586,0.4888888888888889,1.511111111111111,0.0,0.0,0.0,True,0.006666666666666671
baseline_if_trim_ge_1_else_raw,0.9196128002080586,0.4888888888888889,1.511111111111111,0.5111111111111111,0.4888888888888889,0.0,0.3111111111111111,0.1777777777777777,0.9196128002080586,0.4888888888888889,1.511111111111111,0.0,0.0,0.0,True,0.006666666666666671
baseline_if_trim_ge_2_else_raw,0.917549152983121,0.4888888888888889,1.5777777777777775,0.5777777777777777,0.4222222222222222,0.0,0.2444444444444444,0.1777777777777777,0.9196128002080586,0.4888888888888889,1.511111111111111,-0.0020636472249375704,0.0,0.06666666666666643,True,-0.005396980558270878
hybrid_refined_if_trim_ge_2_and_gap_le_1_else_baseline_if_trim_ge_1_else_raw,0.9155197360063356,0.5111111111111111,1.6,0.5111111111111111,0.3555555555555555,0.1333333333333333,0.2888888888888888,0.2,0.9196128002080586,0.4888888888888889,1.511111111111111,-0.004093064201722951,0.0222222222222222,0.08888888888888902,False,-0.025204175312834066
hybrid_refined_if_trim_ge_1_and_gap_le_1_else_baseline_if_trim_ge_1_else_raw,0.91421105568176,0.6888888888888889,1.4666666666666666,0.0888888888888888,0.2222222222222222,0.6888888888888889,0.5333333333333333,0.3777777777777777,0.9196128002080586,0.4888888888888889,1.511111111111111,-0.005401744526298602,0.2,-0.04444444444444451,False,-0.14762396674852085
baseline_if_trim_ge_3_else_raw,0.9137545014873202,0.4222222222222222,1.7777777777777777,0.7111111111111111,0.2888888888888888,0.0,0.1777777777777777,0.1111111111111111,0.9196128002080586,0.4888888888888889,1.511111111111111,-0.005858298720738397,-0.06666666666666665,0.2666666666666666,True,-0.02919163205407173
refined_always,0.9094059695414703,0.4666666666666667,1.8444444444444448,0.0,0.0,1.0,0.5333333333333333,0.3555555555555555,0.9196128002080586,0.4888888888888889,1.511111111111111,-0.010206830666588229,-0.0222222222222222,0.3333333333333337,False,-0.03465127511103271
refined_if_trim_ge_1_else_raw,0.9094059695414703,0.4666666666666667,1.8444444444444448,0.1111111111111111,0.0,0.8888888888888888,0.5333333333333333,0.3555555555555555,0.9196128002080586,0.4888888888888889,1.511111111111111,-0.010206830666588229,-0.0222222222222222,0.3333333333333337,False,-0.03465127511103271
hybrid_raw_if_gap_ge_3_else_baseline_if_trim_ge_1_else_refined_if_trim_ge_1,0.908980491770024,0.3777777777777777,2.0,0.2444444444444444,0.3333333333333333,0.4222222222222222,0.4222222222222222,0.3333333333333333,0.9196128002080586,0.4888888888888889,1.511111111111111,-0.010632308438034532,-0.11111111111111116,0.48888888888888893,True,-0.055076752882478985
refined_if_trim_ge_2_else_raw,0.9064631635275494,0.2,2.2222222222222223,0.7555555555555555,0.0,0.2444444444444444,0.1555555555555555,0.0888888888888888,0.9196128002080586,0.4888888888888889,1.511111111111111,-0.013149636680509169,-0.28888888888888886,0.7111111111111112,True,-0.08092741445828697
raw_only,0.888215175623899,0.0,3.0444444444444443,1.0,0.0,0.0,0.0,0.0,0.9196128002080586,0.4888888888888889,1.511111111111111,-0.03139762458415962,-0.4888888888888889,1.5333333333333332,True,-0.18473095791749294
