variant,baseline_macro_dice_fg,tuned_macro_dice_fg,delta_macro_dice_fg,baseline_macro_iou_fg,tuned_macro_iou_fg,delta_macro_iou_fg,baseline_macro_dice_lumbar,tuned_macro_dice_lumbar,delta_macro_dice_lumbar,baseline_mean_extra_count,tuned_mean_extra_count,delta_mean_extra_count,baseline_mean_missing_count,tuned_mean_missing_count,delta_mean_missing_count
raw_multiclass_baseline,0.3248689325416529,0.3398911300994021,0.015022197557749195,0.2017841713609236,0.2134410728099574,0.01165690144903378,0.3977860278242687,0.4188675417030179,0.02108151387874918,3.022222222222222,3.0444444444444443,0.022222222222222143,0.0222222222222222,,
postprocess_v2,0.3249799258990385,0.3391260749441562,0.014146149045117684,0.2022204673734,0.2135996591573433,0.01137919178394331,0.4009348674293157,0.4266425568295613,0.025707689400245592,2.577777777777778,2.1333333333333333,-0.44444444444444464,1.0444444444444445,1.5333333333333334,0.48888888888888893
visible_range_pred_clip,0.3205114253425569,0.3422452245301431,0.021733799187586222,0.1988042815615897,0.2153645786741247,0.01656029711253501,0.3875025983741519,0.4268714627675375,0.039368864393385605,3.022222222222222,2.888888888888889,-0.1333333333333333,0.0222222222222222,0.022222222222222223,2.42861286636753e-17
last_visible_pred_clip,0.3323588733293916,0.3519338546532042,0.01957498132381258,0.2078755090845923,0.2236325456886477,0.01575703660405542,0.420505380231762,0.4588336874599276,0.0383283072281656,2.2444444444444445,1.511111111111111,-0.7333333333333334,0.0222222222222222,0.4888888888888889,0.4666666666666667
oracle_clip_reference,0.3577446013240526,0.3711096762114791,0.013365074887426498,0.2291450863610045,0.2399051191295849,0.010760032768580396,0.4955063261624587,0.508988236478688,0.01348191031622925,0.0,0.0,0.0,0.0,0.0,0.0
