stage_id,notebook,stage_label,metric,value,source_dir
09_project_summary,09,Resumen final (tabla de variantes del pipeline),raw_multiclass_baseline.mean_missing_count,0.0222222222222222,C:\Users\JOHN\ScoliosisSegmentation-Yeisson-work\reports\analysis_outputs\final_project_summary_thoracolumbar
09_project_summary,09,Resumen final (tabla de variantes del pipeline),postprocess_v2.macro_dice_fg,0.3249799258990385,C:\Users\JOHN\ScoliosisSegmentation-Yeisson-work\reports\analysis_outputs\final_project_summary_thoracolumbar
09_project_summary,09,Resumen final (tabla de variantes del pipeline),postprocess_v2.macro_iou_fg,0.2022204673734,C:\Users\JOHN\ScoliosisSegmentation-Yeisson-work\reports\analysis_outputs\final_project_summary_thoracolumbar
09_project_summary,09,Resumen final (tabla de variantes del pipeline),postprocess_v2.macro_dice_lumbar,0.4009348674293157,C:\Users\JOHN\ScoliosisSegmentation-Yeisson-work\reports\analysis_outputs\final_project_summary_thoracolumbar
09_project_summary,09,Resumen final (tabla de variantes del pipeline),postprocess_v2.mean_extra_count,2.577777777777778,C:\Users\JOHN\ScoliosisSegmentation-Yeisson-work\reports\analysis_outputs\final_project_summary_thoracolumbar
09_project_summary,09,Resumen final (tabla de variantes del pipeline),postprocess_v2.mean_missing_count,1.0444444444444445,C:\Users\JOHN\ScoliosisSegmentation-Yeisson-work\reports\analysis_outputs\final_project_summary_thoracolumbar
09_project_summary,09,Resumen final (tabla de variantes del pipeline),visible_range_pred_clip.macro_dice_fg,0.3205114253425569,C:\Users\JOHN\ScoliosisSegmentation-Yeisson-work\reports\analysis_outputs\final_project_summary_thoracolumbar
09_project_summary,09,Resumen final (tabla de variantes del pipeline),visible_range_pred_clip.macro_iou_fg,0.1988042815615897,C:\Users\JOHN\ScoliosisSegmentation-Yeisson-work\reports\analysis_outputs\final_project_summary_thoracolumbar
09_project_summary,09,Resumen final (tabla de variantes del pipeline),visible_range_pred_clip.macro_dice_lumbar,0.3875025983741519,C:\Users\JOHN\ScoliosisSegmentation-Yeisson-work\reports\analysis_outputs\final_project_summary_thoracolumbar
09_project_summary,09,Resumen final (tabla de variantes del pipeline),visible_range_pred_clip.mean_extra_count,3.022222222222222,C:\Users\JOHN\ScoliosisSegmentation-Yeisson-work\reports\analysis_outputs\final_project_summary_thoracolumbar
09_project_summary,09,Resumen final (tabla de variantes del pipeline),visible_range_pred_clip.mean_missing_count,0.0222222222222222,C:\Users\JOHN\ScoliosisSegmentation-Yeisson-work\reports\analysis_outputs\final_project_summary_thoracolumbar
09_project_summary,09,Resumen final (tabla de variantes del pipeline),last_visible_pred_clip.macro_dice_fg,0.3323588733293916,C:\Users\JOHN\ScoliosisSegmentation-Yeisson-work\reports\analysis_outputs\final_project_summary_thoracolumbar
09_project_summary,09,Resumen final (tabla de variantes del pipeline),last_visible_pred_clip.macro_iou_fg,0.2078755090845923,C:\Users\JOHN\ScoliosisSegmentation-Yeisson-work\reports\analysis_outputs\final_project_summary_thoracolumbar
09_project_summary,09,Resumen final (tabla de variantes del pipeline),last_visible_pred_clip.macro_dice_lumbar,0.420505380231762,C:\Users\JOHN\ScoliosisSegmentation-Yeisson-work\reports\analysis_outputs\final_project_summary_thoracolumbar
09_project_summary,09,Resumen final (tabla de variantes del pipeline),last_visible_pred_clip.mean_extra_count,2.2444444444444445,C:\Users\JOHN\ScoliosisSegmentation-Yeisson-work\reports\analysis_outputs\final_project_summary_thoracolumbar
09_project_summary,09,Resumen final (tabla de variantes del pipeline),last_visible_pred_clip.mean_missing_count,0.0222222222222222,C:\Users\JOHN\ScoliosisSegmentation-Yeisson-work\reports\analysis_outputs\final_project_summary_thoracolumbar
09_project_summary,09,Resumen final (tabla de variantes del pipeline),oracle_clip_reference.macro_dice_fg,0.3577446013240526,C:\Users\JOHN\ScoliosisSegmentation-Yeisson-work\reports\analysis_outputs\final_project_summary_thoracolumbar
09_project_summary,09,Resumen final (tabla de variantes del pipeline),oracle_clip_reference.macro_iou_fg,0.2291450863610045,C:\Users\JOHN\ScoliosisSegmentation-Yeisson-work\reports\analysis_outputs\final_project_summary_thoracolumbar
09_project_summary,09,Resumen final (tabla de variantes del pipeline),oracle_clip_reference.macro_dice_lumbar,0.4955063261624587,C:\Users\JOHN\ScoliosisSegmentation-Yeisson-work\reports\analysis_outputs\final_project_summary_thoracolumbar
09_project_summary,09,Resumen final (tabla de variantes del pipeline),oracle_clip_reference.mean_extra_count,0.0,C:\Users\JOHN\ScoliosisSegmentation-Yeisson-work\reports\analysis_outputs\final_project_summary_thoracolumbar
09_project_summary,09,Resumen final (tabla de variantes del pipeline),oracle_clip_reference.mean_missing_count,0.0,C:\Users\JOHN\ScoliosisSegmentation-Yeisson-work\reports\analysis_outputs\final_project_summary_thoracolumbar
