stage_id,notebook,stage_label,metric,baseline,tuned,delta_tuned_minus_baseline,delta_pct,baseline_available,tuned_available
02_binary,02,Modelo binario (localización columna),test_dice,0.8966665957884665,0.8966665957884665,0.0,0.0,True,True
02_binary,02,Modelo binario (localización columna),test_iou,0.8126887053051197,0.8126887053051197,0.0,0.0,True,True
03_cascade,03,Cascada multiclase (entrenamiento),best_val_macro_dice_fg,0.2314114447445488,0.24911126379970594,0.017699819055157134,7.64863599321791,True,True
03_cascade,03,Cascada multiclase (entrenamiento),test_macro_dice_fg,0.32260175247560924,0.33988898320275207,0.017287230727142833,5.3586908919379965,True,True
03_cascade,03,Cascada multiclase (entrenamiento),test_macro_dice_lumbar,0.39559646586631825,0.4189000858944915,0.023303620028173266,5.8907553628267575,True,True
03_cascade,03,Cascada multiclase (entrenamiento),test_macro_dice_thoracic,0.2921872885628138,0.3069676904145274,0.014780401851713643,5.058536914598249,True,True
03_cascade,03,Cascada multiclase (entrenamiento),test_macro_iou_fg,0.200097270704437,0.21344254340739588,0.013345272702958877,6.669392668864102,True,True
04_inference,04,Inferencia / análisis test,test_macro_dice_fg,0.3205114253425569,0.3398911300994021,0.019379704756845195,6.046494204109109,True,True
04_inference,04,Inferencia / análisis test,test_macro_dice_lumbar,0.3875025983741519,0.4188675417030179,0.03136494332886597,8.094124648573748,True,True
04_inference,04,Inferencia / análisis test,test_macro_dice_thoracic,0.2925984365793924,0.3069842919312288,0.014385855351836396,4.916586540930816,True,True
04_inference,04,Inferencia / análisis test,test_macro_iou_fg,0.1988042815615897,0.2134410728099574,0.014636791248367698,7.362412485987235,True,True
05_postprocess_v2,05,Postproceso anatómico v2,post_v2_macro_dice_fg,0.32497992589903857,0.3391260749441562,0.014146149045117629,4.352930109754658,True,True
05_postprocess_v2,05,Postproceso anatómico v2,raw_macro_dice_fg,0.3248689325416529,0.33989113009940214,0.01502219755774925,4.6240794526645566,True,True
06_visible_range,06,Estimador rango visible,oracle_macro_dice_fg,0.35343906420460014,0.3711096762114791,0.017670612006878972,4.9996205276985854,True,True
06_visible_range,06,Estimador rango visible,pred_clip_macro_dice_fg,0.3205114253425569,0.3422452245301431,0.021733799187586222,6.780974863644104,True,True
06_visible_range,06,Estimador rango visible,raw_macro_dice_fg,0.32051142534255694,0.33989113009940214,0.019379704756845195,6.046494204109107,True,True
07_last_visible,07,Estimador última vértebra visible (pipeline final),clip_raw_macro_dice_fg,0.3248689325416529,0.3398911300994021,0.015022197557749195,4.62407945266454,True,True
07_last_visible,07,Estimador última vértebra visible (pipeline final),last_pred_clip_macro_dice_fg,0.3323588733293916,0.3519338546532042,0.01957498132381258,5.88971226425249,True,True
07_last_visible,07,Estimador última vértebra visible (pipeline final),last_test_exact_acc,0.3333333333333333,0.4222222222222222,0.0888888888888889,26.66666666666667,True,True
07_last_visible,07,Estimador última vértebra visible (pipeline final),last_test_mae,2.2666666666666666,2.0,-0.2666666666666666,-11.764705882352938,True,True
07_last_visible,07,Estimador última vértebra visible (pipeline final),last_test_overprediction_rate,0.6444444444444445,0.4,-0.24444444444444446,-37.93103448275862,True,True
07_last_visible,07,Estimador última vértebra visible (pipeline final),last_test_within1_acc,0.5555555555555556,0.5777777777777777,0.022222222222222143,3.9999999999999853,True,True
07_last_visible,07,Estimador última vértebra visible (pipeline final),oracle_clip_macro_dice_fg,0.3577446013240526,0.3711096762114791,0.013365074887426498,3.735926367011792,True,True
07_last_visible,07,Estimador última vértebra visible (pipeline final),oracle_macro_dice_fg,0.35774460132405267,0.3711096762114791,0.013365074887426442,3.7359263670117757,True,True
07_last_visible,07,Estimador última vértebra visible (pipeline final),raw_macro_dice_fg,0.3248689325416529,0.33989113009940214,0.01502219755774925,4.6240794526645566,True,True
09_project_summary,09,Resumen final (tabla de variantes del pipeline),last_visible_pred_clip.macro_dice_fg,0.3323588733293916,0.296154535391626,-0.03620433793776562,-10.893146187159115,True,True
09_project_summary,09,Resumen final (tabla de variantes del pipeline),last_visible_pred_clip.macro_dice_lumbar,0.420505380231762,0.3865903663830026,-0.03391501384875939,-8.06529843448545,True,True
09_project_summary,09,Resumen final (tabla de variantes del pipeline),last_visible_pred_clip.macro_iou_fg,0.2078755090845923,0.1803585278189295,-0.027516981265662793,-13.237240590215515,True,True
09_project_summary,09,Resumen final (tabla de variantes del pipeline),last_visible_pred_clip.mean_extra_count,2.2444444444444445,1.6,-0.6444444444444444,-28.71287128712871,True,True
09_project_summary,09,Resumen final (tabla de variantes del pipeline),last_visible_pred_clip.mean_missing_count,0.0222222222222222,0.3333333333333333,0.3111111111111111,1400.0000000000014,True,True
09_project_summary,09,Resumen final (tabla de variantes del pipeline),oracle_clip_reference.macro_dice_fg,0.3577446013240526,0.316585840687472,-0.04115876063658064,-11.505068276152171,True,True
09_project_summary,09,Resumen final (tabla de variantes del pipeline),oracle_clip_reference.macro_dice_lumbar,0.4955063261624587,0.4471777965806595,-0.04832852958179923,-9.753362778652807,True,True
09_project_summary,09,Resumen final (tabla de variantes del pipeline),oracle_clip_reference.macro_iou_fg,0.2291450863610045,0.1964888218450903,-0.03265626451591419,-14.251348363833639,True,True
09_project_summary,09,Resumen final (tabla de variantes del pipeline),oracle_clip_reference.mean_extra_count,0.0,0.0222222222222222,0.0222222222222222,,True,True
09_project_summary,09,Resumen final (tabla de variantes del pipeline),oracle_clip_reference.mean_missing_count,0.0,0.0222222222222222,0.0222222222222222,,True,True
09_project_summary,09,Resumen final (tabla de variantes del pipeline),postprocess_v2.macro_dice_fg,0.3249799258990385,0.2836192044467854,-0.04136072145225311,-12.72716194325881,True,True
09_project_summary,09,Resumen final (tabla de variantes del pipeline),postprocess_v2.macro_dice_lumbar,0.4009348674293157,0.3573254714529013,-0.043609395976414445,-10.876927780321505,True,True
09_project_summary,09,Resumen final (tabla de variantes del pipeline),postprocess_v2.macro_iou_fg,0.2022204673734,0.1710068677007854,-0.031213599672614584,-15.435430487349574,True,True
09_project_summary,09,Resumen final (tabla de variantes del pipeline),postprocess_v2.mean_extra_count,2.577777777777778,2.955555555555556,0.3777777777777782,14.65517241379312,True,True
09_project_summary,09,Resumen final (tabla de variantes del pipeline),postprocess_v2.mean_missing_count,1.0444444444444445,0.3777777777777777,-0.6666666666666667,-63.829787234042556,True,True
09_project_summary,09,Resumen final (tabla de variantes del pipeline),raw_multiclass_baseline.macro_dice_fg,0.3248689325416529,0.2853897834388499,-0.03947914910280298,-12.152331339883103,True,True
09_project_summary,09,Resumen final (tabla de variantes del pipeline),raw_multiclass_baseline.macro_dice_lumbar,0.3977860278242687,0.3559081160710854,-0.04187791175318328,-10.52774829277911,True,True
09_project_summary,09,Resumen final (tabla de variantes del pipeline),raw_multiclass_baseline.macro_iou_fg,0.2017841713609236,0.1720197072967673,-0.02976446406415631,-14.750643652280216,True,True
09_project_summary,09,Resumen final (tabla de variantes del pipeline),raw_multiclass_baseline.mean_extra_count,3.022222222222222,3.088888888888889,0.06666666666666687,2.2058823529411837,True,True
09_project_summary,09,Resumen final (tabla de variantes del pipeline),raw_multiclass_baseline.mean_missing_count,0.0222222222222222,0.0444444444444444,0.0222222222222222,100.0,True,True
09_project_summary,09,Resumen final (tabla de variantes del pipeline),visible_range_pred_clip.macro_dice_fg,0.3205114253425569,0.2906795300717845,-0.0298318952707724,-9.307591839788115,True,True
09_project_summary,09,Resumen final (tabla de variantes del pipeline),visible_range_pred_clip.macro_dice_lumbar,0.3875025983741519,0.373893254623063,-0.01360934375108891,-3.512065159869832,True,True
09_project_summary,09,Resumen final (tabla de variantes del pipeline),visible_range_pred_clip.macro_iou_fg,0.1988042815615897,0.1760736818438677,-0.022730599717721983,-11.43365703151621,True,True
09_project_summary,09,Resumen final (tabla de variantes del pipeline),visible_range_pred_clip.mean_extra_count,3.022222222222222,2.3777777777777778,-0.6444444444444444,-21.323529411764707,True,True
09_project_summary,09,Resumen final (tabla de variantes del pipeline),visible_range_pred_clip.mean_missing_count,0.0222222222222222,0.2,0.1777777777777778,800.000000000001,True,True
11_pipeline_decision,11,Comparación global de variantes,pipeline_best_macro_dice_fg,,0.3519338546532042,,,False,True
14_deployment,14,Política de despliegue final,deployment_proxy_macro_dice,,0.9253741170804868,,,False,True
