stage_id,notebook,stage_label,metric,value,source_dir
09_project_summary,09,Resumen final (tabla de variantes del pipeline),raw_multiclass_baseline.mean_missing_count,0.0444444444444444,C:\Users\JOHN\ScoliosisSegmentation-Yeisson-work\analysis_outputs\final_project_summary_thoracolumbar_tuned
09_project_summary,09,Resumen final (tabla de variantes del pipeline),postprocess_v2.macro_dice_fg,0.2836192044467854,C:\Users\JOHN\ScoliosisSegmentation-Yeisson-work\analysis_outputs\final_project_summary_thoracolumbar_tuned
09_project_summary,09,Resumen final (tabla de variantes del pipeline),postprocess_v2.macro_iou_fg,0.1710068677007854,C:\Users\JOHN\ScoliosisSegmentation-Yeisson-work\analysis_outputs\final_project_summary_thoracolumbar_tuned
09_project_summary,09,Resumen final (tabla de variantes del pipeline),postprocess_v2.macro_dice_lumbar,0.3573254714529013,C:\Users\JOHN\ScoliosisSegmentation-Yeisson-work\analysis_outputs\final_project_summary_thoracolumbar_tuned
09_project_summary,09,Resumen final (tabla de variantes del pipeline),postprocess_v2.mean_extra_count,2.955555555555556,C:\Users\JOHN\ScoliosisSegmentation-Yeisson-work\analysis_outputs\final_project_summary_thoracolumbar_tuned
09_project_summary,09,Resumen final (tabla de variantes del pipeline),postprocess_v2.mean_missing_count,0.3777777777777777,C:\Users\JOHN\ScoliosisSegmentation-Yeisson-work\analysis_outputs\final_project_summary_thoracolumbar_tuned
09_project_summary,09,Resumen final (tabla de variantes del pipeline),visible_range_pred_clip.macro_dice_fg,0.2906795300717845,C:\Users\JOHN\ScoliosisSegmentation-Yeisson-work\analysis_outputs\final_project_summary_thoracolumbar_tuned
09_project_summary,09,Resumen final (tabla de variantes del pipeline),visible_range_pred_clip.macro_iou_fg,0.1760736818438677,C:\Users\JOHN\ScoliosisSegmentation-Yeisson-work\analysis_outputs\final_project_summary_thoracolumbar_tuned
09_project_summary,09,Resumen final (tabla de variantes del pipeline),visible_range_pred_clip.macro_dice_lumbar,0.373893254623063,C:\Users\JOHN\ScoliosisSegmentation-Yeisson-work\analysis_outputs\final_project_summary_thoracolumbar_tuned
09_project_summary,09,Resumen final (tabla de variantes del pipeline),visible_range_pred_clip.mean_extra_count,2.3777777777777778,C:\Users\JOHN\ScoliosisSegmentation-Yeisson-work\analysis_outputs\final_project_summary_thoracolumbar_tuned
09_project_summary,09,Resumen final (tabla de variantes del pipeline),visible_range_pred_clip.mean_missing_count,0.2,C:\Users\JOHN\ScoliosisSegmentation-Yeisson-work\analysis_outputs\final_project_summary_thoracolumbar_tuned
09_project_summary,09,Resumen final (tabla de variantes del pipeline),last_visible_pred_clip.macro_dice_fg,0.296154535391626,C:\Users\JOHN\ScoliosisSegmentation-Yeisson-work\analysis_outputs\final_project_summary_thoracolumbar_tuned
09_project_summary,09,Resumen final (tabla de variantes del pipeline),last_visible_pred_clip.macro_iou_fg,0.1803585278189295,C:\Users\JOHN\ScoliosisSegmentation-Yeisson-work\analysis_outputs\final_project_summary_thoracolumbar_tuned
09_project_summary,09,Resumen final (tabla de variantes del pipeline),last_visible_pred_clip.macro_dice_lumbar,0.3865903663830026,C:\Users\JOHN\ScoliosisSegmentation-Yeisson-work\analysis_outputs\final_project_summary_thoracolumbar_tuned
09_project_summary,09,Resumen final (tabla de variantes del pipeline),last_visible_pred_clip.mean_extra_count,1.6,C:\Users\JOHN\ScoliosisSegmentation-Yeisson-work\analysis_outputs\final_project_summary_thoracolumbar_tuned
09_project_summary,09,Resumen final (tabla de variantes del pipeline),last_visible_pred_clip.mean_missing_count,0.3333333333333333,C:\Users\JOHN\ScoliosisSegmentation-Yeisson-work\analysis_outputs\final_project_summary_thoracolumbar_tuned
09_project_summary,09,Resumen final (tabla de variantes del pipeline),oracle_clip_reference.macro_dice_fg,0.316585840687472,C:\Users\JOHN\ScoliosisSegmentation-Yeisson-work\analysis_outputs\final_project_summary_thoracolumbar_tuned
09_project_summary,09,Resumen final (tabla de variantes del pipeline),oracle_clip_reference.macro_iou_fg,0.1964888218450903,C:\Users\JOHN\ScoliosisSegmentation-Yeisson-work\analysis_outputs\final_project_summary_thoracolumbar_tuned
09_project_summary,09,Resumen final (tabla de variantes del pipeline),oracle_clip_reference.macro_dice_lumbar,0.4471777965806595,C:\Users\JOHN\ScoliosisSegmentation-Yeisson-work\analysis_outputs\final_project_summary_thoracolumbar_tuned
09_project_summary,09,Resumen final (tabla de variantes del pipeline),oracle_clip_reference.mean_extra_count,0.0222222222222222,C:\Users\JOHN\ScoliosisSegmentation-Yeisson-work\analysis_outputs\final_project_summary_thoracolumbar_tuned
09_project_summary,09,Resumen final (tabla de variantes del pipeline),oracle_clip_reference.mean_missing_count,0.0222222222222222,C:\Users\JOHN\ScoliosisSegmentation-Yeisson-work\analysis_outputs\final_project_summary_thoracolumbar_tuned
11_pipeline_decision,11,Comparación global de variantes,pipeline_best_macro_dice_fg,0.3519338546532042,C:\Users\JOHN\ScoliosisSegmentation-Yeisson-work\analysis_outputs\definitive_pipeline_decision_support_thoracolumbar_tuned
14_deployment,14,Política de despliegue final,deployment_proxy_macro_dice,0.9253741170804868,C:\Users\JOHN\ScoliosisSegmentation-Yeisson-work\analysis_outputs\final_deployment_policy_thoracolumbar_tuned
