epoch,train_loss,val_loss,val_first_acc,val_last_acc,val_range_exact_acc,val_range_within1_acc,val_first_mae,val_last_mae,lr,epoch_seconds
1,1.6335162099424776,1.5917432175742254,0.9166666666666666,0.2777777777777778,0.19444444444444445,0.3611111111111111,0.25,3.111111111111111,0.001,5.213484287261963
2,1.3509409561023846,1.8975323306189642,0.9166666666666666,0.2777777777777778,0.19444444444444445,0.3611111111111111,0.25,3.111111111111111,0.001,2.615428924560547
3,1.3095167233393743,1.6872144142786663,0.9166666666666666,0.2777777777777778,0.19444444444444445,0.3611111111111111,0.25,3.111111111111111,0.001,2.638326406478882
4,1.30593162066453,1.5641724401050143,0.9166666666666666,0.2777777777777778,0.19444444444444445,0.3888888888888889,0.25,3.0555555555555554,0.001,2.679417371749878
5,1.3028078821155575,1.922608772913615,0.9166666666666666,0.2777777777777778,0.19444444444444445,0.3611111111111111,0.25,3.111111111111111,0.001,3.69464373588562
6,1.2877971925935545,1.7349961996078491,0.9166666666666666,0.2777777777777778,0.2222222222222222,0.4444444444444444,0.25,2.8333333333333335,0.001,3.7342469692230225
7,1.265695508543428,1.6358827087614272,0.9166666666666666,0.19444444444444445,0.1388888888888889,0.3055555555555556,0.25,2.9722222222222223,0.001,2.599033832550049
8,1.2749266190962358,1.7788061300913494,0.9166666666666666,0.1388888888888889,0.1111111111111111,0.2222222222222222,0.25,3.1944444444444446,0.001,2.679762840270996
9,1.2623695685313299,2.1828878190782337,0.9166666666666666,0.08333333333333333,0.08333333333333333,0.2222222222222222,0.25,3.1666666666666665,0.001,2.6508336067199707
10,1.2827864051698805,1.8173435661527846,0.9166666666666666,0.2777777777777778,0.19444444444444445,0.3611111111111111,0.25,3.111111111111111,0.0005,3.940622568130493
11,1.2827213777528776,1.5705247587627835,0.9166666666666666,0.2777777777777778,0.19444444444444445,0.3611111111111111,0.25,3.0833333333333335,0.0005,3.1324055194854736
12,1.2235453287204663,1.875844915707906,0.9166666666666666,0.2777777777777778,0.19444444444444445,0.3611111111111111,0.25,3.111111111111111,0.0005,2.7958920001983643
13,1.207802860053269,1.6001849836773343,0.9166666666666666,0.3055555555555556,0.2222222222222222,0.3888888888888889,0.25,2.8055555555555554,0.0005,2.770571708679199
14,1.2086998970358522,1.5476169718636408,0.9166666666666666,0.3333333333333333,0.25,0.3888888888888889,0.25,2.8055555555555554,0.00025,2.6922528743743896
