partition,loss,first_acc,last_acc,range_exact_acc,range_within1_acc,first_mae,last_mae
train,1.2636654477019411,0.972027972027972,0.3776223776223776,0.34965034965034963,0.46853146853146854,0.03496503496503497,2.7132867132867133
val,1.7349961996078491,0.9166666666666666,0.2777777777777778,0.2222222222222222,0.4444444444444444,0.25,2.8333333333333335
test,1.486221875084771,0.9333333333333333,0.3333333333333333,0.28888888888888886,0.4666666666666667,0.06666666666666667,2.8666666666666667
