metric,raw,oracle_clip,pred_clip,delta_pred_vs_raw,delta_oracle_vs_raw
pixel_accuracy,0.8191497395833529,0.8294589843750185,0.820216688368075,0.0010669487847221326,0.010309244791665617
macro_dice_fg,0.33989113009940214,0.3711096762114791,0.34224522453014317,0.002354094430741027,0.031218546112076972
macro_iou_fg,0.21344107280995744,0.2399051191295849,0.21536457867412476,0.001923505864167313,0.026464046319627454
macro_dice_thoracic,0.30698429193122884,0.31366027610014213,0.30698429193122884,0.0,0.006675984168913296
macro_dice_lumbar,0.41886754170301793,0.508988236478688,0.4268714627675375,0.008003921064519581,0.09012069477567003
