class_id,class_name,pred_pixels,target_pixels,dice,iou,region
0,background,7180237.0,7239002.0,0.9535795890476638,0.9112777035568593,background
1,T1,84621.0,68688.0,0.6603787122761196,0.49295925522463235,thoracic
2,T2,101449.0,124505.0,0.5317631022264188,0.3621779993648174,thoracic
3,T3,150428.0,121779.0,0.3733188345657043,0.22949723799676824,thoracic
4,T4,95503.0,121576.0,0.17275738326059747,0.09454539954472115,thoracic
5,T5,107089.0,113781.0,0.20372164622083705,0.1134131833166303,thoracic
6,T6,122506.0,121046.0,0.15218926554020418,0.08236193388521697,thoracic
7,T7,115658.0,127588.0,0.23043338842476163,0.130220239758711,thoracic
8,T8,154168.0,115384.0,0.18716982252334552,0.1032473007412095,thoracic
9,T9,89033.0,127056.0,0.2571810689148583,0.14756614375233632,thoracic
10,T10,65940.0,120484.0,0.2629489765305811,0.15137665674894463,thoracic
11,T11,112989.0,125391.0,0.29567077775276585,0.1734821969234195,thoracic
12,T12,126575.0,144898.0,0.35627852493855267,0.21675115300669726,thoracic
13,L1,134150.0,118887.0,0.3962345427767629,0.2470651434691578,lumbar
14,L2,120914.0,122013.0,0.3896561518505985,0.2419707768011842,lumbar
15,L3,147413.0,120040.0,0.47717542895582704,0.313348916238726,lumbar
16,L4,148699.0,105729.0,0.4774002861340835,0.31354287130702985,lumbar
17,L5,158628.0,78153.0,0.35387129879781787,0.21497182968907477,lumbar
