partition,loss,last_acc,last_within1_acc,last_mae,overprediction_rate,underprediction_rate
train,1.2761951451534992,0.6853146853146853,0.7762237762237763,0.8951048951048951,0.16783216783216784,0.14685314685314685
val,2.625031312306722,0.2777777777777778,0.5277777777777778,2.1666666666666665,0.4444444444444444,0.2777777777777778
test,2.273504384358724,0.4222222222222222,0.5777777777777777,2.0,0.4,0.17777777777777778
