epoch,train_loss,val_loss,val_last_acc,val_last_within1_acc,val_last_mae,val_overprediction_rate,val_underprediction_rate,lr,epoch_seconds
1,2.4573173622984985,2.3288082546657987,0.2777777777777778,0.4444444444444444,3.111111111111111,0.7222222222222222,0.0,0.0008,2.922520399093628
2,2.010906592949287,2.4361440075768366,0.2777777777777778,0.4722222222222222,2.5833333333333335,0.6388888888888888,0.08333333333333333,0.0008,1.377629041671753
3,1.8261703311146555,3.0394558111826577,0.2222222222222222,0.5,2.0,0.6111111111111112,0.16666666666666666,0.0008,1.0525550842285156
4,1.7218246326579913,2.381172259648641,0.25,0.4444444444444444,2.3333333333333335,0.5277777777777778,0.2222222222222222,0.0008,1.0658233165740967
5,1.671553701787562,2.3562119007110596,0.2222222222222222,0.5,2.138888888888889,0.4444444444444444,0.3333333333333333,0.0008,1.102217674255371
6,1.6314801411195234,2.5426732699076333,0.2222222222222222,0.4166666666666667,2.4166666666666665,0.5,0.2777777777777778,0.0008,1.0694646835327148
7,1.5355683848574444,2.93719130092197,0.16666666666666666,0.4166666666666667,2.388888888888889,0.5,0.3333333333333333,0.0004,1.0500283241271973
8,1.4582395036737401,2.5126950210995145,0.2777777777777778,0.4722222222222222,2.5555555555555554,0.5277777777777778,0.19444444444444445,0.0004,1.0547280311584473
9,1.4031479975560328,2.625031312306722,0.2777777777777778,0.5277777777777778,2.1666666666666665,0.4444444444444444,0.2777777777777778,0.0004,1.0681281089782715
10,1.3349085771120512,2.881682448916965,0.2777777777777778,0.5277777777777778,2.111111111111111,0.5,0.2222222222222222,0.0004,1.0778727531433105
11,1.302788105877963,3.8264134195115833,0.19444444444444445,0.4444444444444444,2.0833333333333335,0.4722222222222222,0.3333333333333333,0.0004,1.1118454933166504
12,1.2225780912212558,3.0112495687272816,0.25,0.4722222222222222,2.25,0.4444444444444444,0.3055555555555556,0.0004,1.5812091827392578
13,1.1695718373452033,2.718451314502292,0.2777777777777778,0.5277777777777778,2.25,0.4444444444444444,0.2777777777777778,0.0002,1.511817216873169
14,1.0703749481614653,2.814449760648939,0.2777777777777778,0.4722222222222222,2.1666666666666665,0.4444444444444444,0.2777777777777778,0.0002,1.4926519393920898
15,1.0198180050283046,2.8614711496565075,0.25,0.4444444444444444,2.3333333333333335,0.4444444444444444,0.3055555555555556,0.0002,1.048793077468872
16,0.9897739962264375,3.05849642223782,0.2777777777777778,0.4722222222222222,2.25,0.3888888888888889,0.3333333333333333,0.0002,1.06068754196167
17,0.9579649609285634,2.790306912528144,0.2777777777777778,0.5,2.3055555555555554,0.4444444444444444,0.2777777777777778,0.0001,1.0546276569366455
