metric,raw,oracle_clip,last_pred_clip,prev_range_clip
pixel_accuracy,0.8191497395833529,0.8294589843750185,0.8239184027777969,0.820216688368075
macro_dice_fg,0.33989113009940214,0.3711096762114791,0.3519338546532042,0.34224522453014317
macro_iou_fg,0.21344107280995744,0.2399051191295849,0.22363254568864774,0.21536457867412476
macro_dice_thoracic,0.30698429193122884,0.31366027610014213,0.30739225765040273,0.30698429193122884
macro_dice_lumbar,0.41886754170301793,0.508988236478688,0.45883368745992764,0.4268714627675375
