epoch,lr,train_loss,train_pixel_accuracy,train_macro_dice_fg,train_macro_iou_fg,train_macro_dice_thoracic,train_macro_dice_lumbar,val_loss,val_pixel_accuracy,val_macro_dice_fg,val_macro_iou_fg,val_macro_dice_thoracic,val_macro_dice_lumbar
1,0.00025,3.1560350590282016,0.6594051912256476,0.05625939574944883,0.029837590640450676,0.05572661147055763,0.05753807801878773,3.148915078904894,0.6659894476996981,0.055854003683772385,0.029704750432526687,0.05577010461518852,0.05605536144837366
2,0.0002496985512196533,2.880919920073615,0.6881077037105757,0.06837281698404674,0.037051389185931115,0.07258981044631382,0.05825203267460575,2.8774406909942627,0.7033021375868458,0.06859355413460069,0.037369137223502207,0.07656408490593351,0.04946428028340187
3,0.00024879567350676935,2.7569409211476645,0.6953649471053116,0.060044539311488065,0.03269943367988609,0.07033765449875057,0.03534106286205808,2.7569782733917236,0.706581353081637,0.06319347699993974,0.03405752821024388,0.07416870162519534,0.03685293789932627
4,0.0002472957655908085,2.5957885252104864,0.7213783981081157,0.08675661359019879,0.047205982049970244,0.09617162401209495,0.06416058857764798,2.600037309858534,0.7277280002170509,0.08383869426585315,0.045849416866505024,0.09462540450443147,0.05795058969326524
5,0.000245206134872367,2.443566825654772,0.7449374376663651,0.09436097359687196,0.05234689836008217,0.09492885051291589,0.09299806899836659,2.461293008592394,0.7516604275173948,0.08981272852233892,0.049233137271246084,0.09304567150106724,0.08205366537339097
6,0.0002425369618222562,2.3519663943184748,0.7514686185445105,0.11520429879210112,0.06373852503889456,0.11573927003310717,0.11392036781368657,2.3658075862460666,0.7570311143663524,0.09394779527097384,0.05148160630904804,0.09301636898219863,0.09618321836403439
7,0.00023930125038327187,2.2764619721306696,0.753527976001166,0.10356165931252864,0.05738918245459922,0.10878335115813813,0.09102959888306593,2.317090696758694,0.7539723036024639,0.09803806836947485,0.05346888385080929,0.09976440270132185,0.09389486597304197
8,0.00023551476461629225,2.161066879828771,0.7797530781878462,0.12358674617319831,0.06901209678889998,0.13902686452920002,0.08653046211879423,2.2107291089163885,0.7787736002604467,0.10354896268797964,0.05762789703179017,0.11571713641589311,0.07434534574098729
9,0.00023119595189935772,2.17193333307902,0.7500814932848118,0.1405604880377558,0.07805131543224395,0.12407109889443824,0.18013502198171802,2.2438686423831515,0.7454983181423956,0.11661846184320807,0.06334340729063741,0.09560775041814891,0.16704416926335
10,0.00022636585305389975,2.056988649898105,0.7823256283752442,0.1740415919537128,0.09831174779529522,0.17003712159559348,0.18365232081319915,2.1012611521614923,0.7797710503472521,0.14568657123971018,0.08125398737962972,0.14930526288396584,0.1370017112934966
11,0.00022104799983597352,2.0241955320040383,0.757811691661987,0.1677295538924554,0.09510359927915549,0.17396667121672094,0.1527604723142181,2.11346615685357,0.7496001519097562,0.13994563957502856,0.0782650493337413,0.15045575318034188,0.11472136692227661
12,0.00021526830029190808,1.9836502538786993,0.7810173948248457,0.20115906583065365,0.11495717578747319,0.1964195991108545,0.21253378595817168,2.0339384343889026,0.7710401746962117,0.16799459034100103,0.09485941632381426,0.16128780006248863,0.1840908870094308
13,0.00020905491253690872,1.9466813769605424,0.7927498846218975,0.2092286912095249,0.1216626923542625,0.1991677488820035,0.23337495279557624,2.018861903084649,0.7866563585069734,0.1672061765639792,0.09609521749695217,0.1691978630910805,0.1624261288989361
14,0.0002024381075715502,1.9186053143607245,0.7911015476581117,0.20020792041087343,0.11447150209289078,0.19179560254701966,0.2203974832841225,1.9989733033710055,0.7838225640191265,0.16567608285335417,0.09364583123584046,0.17226459286868492,0.14986365881656025
15,0.0001954501218045049,1.884683155351215,0.7938692167273893,0.2174915373396501,0.12650487574370328,0.19530953053457037,0.2707283536718414,1.9690733750661213,0.7849910481771125,0.17140410397412828,0.0978788467300652,0.1664981585876348,0.18317837290171268
16,0.000188125,1.8830769459406536,0.799276010034766,0.22431298038073402,0.1313359782544971,0.2184119556566189,0.23847543971861027,1.9522467851638794,0.7892294650607925,0.16789101544812815,0.09544028855933685,0.17208202729491542,0.1578325870158387
17,0.00018049842941514834,1.8429300056563482,0.79590469238583,0.24720573219205483,0.14592840992149134,0.21908864597223454,0.3146867391196236,1.9409096903271146,0.7795232476128772,0.19119277611435972,0.11053381397692094,0.18304631359539822,0.2107442861598674
18,0.00017260756593521912,1.838599489794837,0.792868879530839,0.2517505925160009,0.14970332405430195,0.22078506865034853,0.3260678497935666,1.9355485969119601,0.7715915256076699,0.18998755695071048,0.10884178458283546,0.17370896273349715,0.2290561830720225
19,0.00016449085305389975,1.791820185052024,0.7932119239165129,0.2466698021469623,0.14654693293751606,0.21940972839626624,0.3120939791486329,1.9241286648644342,0.7766634114583636,0.20769027807271648,0.12024340468943763,0.19407861850197317,0.2403582610425004
20,0.0001561878345804589,1.7825929522514343,0.8033942282854288,0.27579040141088373,0.16597801685805316,0.2507915328181531,0.3357876860334374,1.8790375921461318,0.787491997612876,0.2237785466851786,0.1300604989621402,0.21005917470632796,0.25670503943442013
21,0.00014773896198628267,1.8120367427666981,0.8035589428076556,0.2556385539687978,0.15282075261065237,0.2302738921175399,0.31651374241181685,1.9066148334079318,0.7935096571180835,0.20298987867274904,0.11792013963111839,0.20184621020401028,0.20573468299772196
22,0.00013918539732937215,1.7706476284397974,0.7992624057608199,0.2556397570901605,0.15221910119248175,0.23896641455655185,0.2956557791708212,1.9001196225484211,0.7885965983073203,0.20348801546187903,0.11675031614598175,0.21397676656485373,0.1783150128147398
23,0.00013056881271693454,1.7427659432093303,0.8112076261500174,0.28699560712822153,0.1736030162924461,0.2596471632660159,0.3526318723975151,1.8697247637642755,0.7964044867621805,0.2123513117414321,0.12407252113465116,0.20381935936425624,0.23282799744665406
24,0.00012193118728306556,1.787245899438858,0.8069308506903597,0.253798215515549,0.152340265121999,0.22949521229271064,0.31212542325036113,1.9082990884780884,0.792937961154542,0.18572403839408694,0.1070121467065803,0.18600530494519815,0.18504899867142013
25,0.00011331460267062791,1.724517931540807,0.8106658368842672,0.2931009793291309,0.17875058537016741,0.2647781362989838,0.36107580260148386,1.8801114691628351,0.7923883734809309,0.21263029863586944,0.12383098569184972,0.20924784920841877,0.220748177261751
26,0.00010476103801371739,1.7015428808000352,0.8092347505228437,0.2931699708671323,0.17843364426133032,0.25758834055242213,0.3785658836224367,1.8482565217547946,0.7915797254774588,0.22641552326388875,0.13143701863200477,0.21957694537389275,0.24282811019987913
27,9.631216541954111e-05,1.7102958493762546,0.8094265098212303,0.29140014380426427,0.17818741861856793,0.26639888861345795,0.3514031562621994,1.8486452102661133,0.7913258192274588,0.2242540410922794,0.12977626518058066,0.23075689639160893,0.20864718837388865
