slice_name,images,exact_acc,within1_acc,mae,overprediction_rate,mean_raw_extra_count,mean_last_extra_count,mean_last_missing_count,clean_improvement_rate,harm_rate
thoracic_end_gt,15,0.26666666666666666,0.26666666666666666,3.7333333333333334,0.6666666666666666,7.066666666666666,3.6,0.13333333333333333,0.6666666666666666,0.06666666666666667
scoliosis,28,0.25,0.4642857142857143,2.5357142857142856,0.5,4.464285714285714,2.0,0.5357142857142857,0.5,0.25
partial,32,0.21875,0.4375,2.59375,0.5625,4.28125,2.125,0.46875,0.4375,0.21875
all_test,45,0.4222222222222222,0.5777777777777777,2.0,0.4,3.0444444444444443,1.511111111111111,0.4888888888888889,0.3111111111111111,0.17777777777777778
lumbar_visible_gt,30,0.5,0.7333333333333333,1.1333333333333333,0.26666666666666666,1.0333333333333334,0.4666666666666667,0.6666666666666666,0.13333333333333333,0.23333333333333334
full_range,13,0.9230769230769231,0.9230769230769231,0.5384615384615384,0.0,0.0,0.0,0.5384615384615384,0.0,0.07692307692307693
normal,17,0.7058823529411765,0.7647058823529411,1.1176470588235294,0.23529411764705882,0.7058823529411765,0.7058823529411765,0.4117647058823529,0.0,0.058823529411764705
